BAT-BLUE, 42.64, 20.02, 270.00, CLEAR-BLUE-0805, LED-0805
BAT-RED, 35.02, 20.02, 90.00, RED-0805, LED-0805
BOOT-SW, 4.62, 31.72, 90.00, , SW4-SMD-6.0X6.0X5.0MM
C1, 46.45, 42.88, 0.00, 100nf, C0805
C10, 65.50, 40.34, 0.00, 4.7uf, AVX-A
C11, 18.78, 29.72, 90.00, 100nF/50V(10%), C0603
C12, 10.89, 23.56, 90.00, 100nF/50V(10%), C0603
C13, 57.15, 19.05, 270.00, 100nf, C0805
C14, 46.45, 47.96, 270.00, 47PF, C0402
C15, 61.69, 46.69, 180.00, 47PF, C0402
C16, 65.50, 44.15, 270.00, 100nf, C0805
C17, 57.15, 35.56, 270.00, 10UF 6.3V, C0603
C2, 3.54, 22.56, 270.00, 10uf, C1206
C3, 11.97, 39.07, 180.00, 22uf, C0805
C4, 50.26, 44.15, 90.00, 100nf, C0805
C5, 58.07, 15.21, 0.00, 10nf, C0805
C6, 19.78, 41.61, 180.00, 100nF/50V(10%), C0603
C7, 19.78, 36.53, 0.00, 100nF/50V(10%), C0603
C8, 15.24, 19.75, 180.00, 10uf, AVX-A
C9, 57.80, 8.86, 270.00, 6.8uF, CAPPM3528X210N
CHARGER-IC, 42.18, 7.13, 0.00, TP4056, SOT23-8
CNV-IC, 50.26, 36.53, 0.00, INTERFACE-FT230XS-R(SSOP16), SSOP16-0.635-5X4MM
DRIVER-IC, 18.05, 7.13, 0.00, TB6612FNG, SOP65P760X160-24N
EN_SW, 4.62, 44.42, 270.00, , SW4-SMD-6.0X6.0X5.0MM
ESP32, 33.75, 36.84, 0.00, ESP32-WROOM-32E8M, ESP32WROOM32E8MB
FERRITE-BEAD, 57.88, 40.34, 270.00, LI0805H151R-10, FB_LI0805H151R-10
HUSE, 65.50, 23.83, 0.00, SMD0805R035SF, SMD0805R035SF
IC1, 55.88, 25.40, 0.00, DW01A, SOT23-6
LDO-IC, 21.60, 18.75, 270.00, SPX3940AM3-L-3-3/TR, SOT-223-3_VAR-AA
PWR-LED, 33.21, 3.59, 0.00, YELLOW-0805, LED-0805
Q1, 63.50, 30.48, 0.00, FS8205A, SOP65P640X120-8N
R1, 28.94, 7.67, 180.00, 10K, R0603
R10, 50.26, 49.23, 0.00, 27R, R0805
R11, 56.61, 45.42, 0.00, 27R, R0805
R2, 43.73, 14.72, 0.00, 1K, R0603
R3, 40.10, 14.94, 0.00, 1K, R0603
R4, 9.62, 50.50, 180.00, 10K, R0603
R5, 49.53, 26.67, 180.00, 100R, R1206
R6, 49.99, 9.13, 90.00, 300R, R0603
R7, 50.26, 12.40, 180.00, 1K, R0603
R8, 49.53, 19.05, 0.00, 1K, R0805
RPROG, 51.42, 3.59, 270.00, 1.2K, R0805
USB-TO-SERIAL-LED, 12.70, 29.45, 90.00, GREEN-0805, LED-0805
USB1, 56.88, 50.79, 180.00, ZX62-B-5PA, MICRO-USB5+6P-SMD-0.65-AB
